name,description,price,cost,unit,stock,min_stock,barcode,image_url,category
Rapiditas BIMBO Integrales,"Harina integral, agua, aceite vegetal, azúcar, sal, gasificante, gluten de trigo, cloruro de potasio, levadura, estabilizantes: INS 422, INS 412, INS 466, conservadores: INS 282, INS 200, regulador de acidez: INS 270, aromatizante natural. PUEDE CONTENER LECHE Y SOJA.",12773.00,0.00,U,66.000,0.000,7793890258288,https://images.openfoodfacts.org/images/products/779/389/025/8288/front_es.69.400.jpg,Panes planos
cerealitas,"harina de trigo, azúcar, grasa vegetal, jarabe de glucosa, cacao en polvo, almidón de maíz, sal, gasificantes (bicarbonato de amonio, bicarbonato de sodio), emulsionante (lecitina de soja), aromatizante",11602.00,0.00,U,45.000,0.000,7622201736033,https://images.openfoodfacts.org/images/products/762/220/173/6033/front_es.8.400.jpg,Galletas
7622201735258,,6700.00,0.00,U,33.000,0.000,7622201735258,https://images.openfoodfacts.org/images/products/762/220/173/5258/front_es.3.400.jpg,
tirabuzón integral,Sémola de trigo candeal integral,3333.00,0.00,U,81.000,0.000,7790070335968,https://images.openfoodfacts.org/images/products/779/007/033/5968/front_es.3.400.jpg,Alimentos y bebidas de origen vegetal
CasanCrem Clásico,"Leche entera, crema, proteinas lacteas, dillun maiz, gelatina, sal, vitamina B12, cultivos lácticos, vitaminas B3, A, D, B6 y ácido tolico (vitamina B9), conservante (INS 202). CONTIENE LECHE. 131 0 A 7 791337 061361",1143.00,0.00,U,82.000,0.000,7791337061361,https://images.openfoodfacts.org/images/products/779/133/706/1361/front_es.36.400.jpg,Dairies
Villavicencio Sin Gas,,9787.00,0.00,U,7.000,0.000,7799155000173,https://images.openfoodfacts.org/images/products/779/915/500/0173/front_es.3.400.jpg,mineral-waters
Leche la serenísima clásica,"Ingredientes: Leche entera, vitaminas A, D, B6 y B9. CONTIENE LECHE.",7961.00,0.00,U,5.000,0.000,7790742363008,https://images.openfoodfacts.org/images/products/779/074/236/3008/front_en.3.400.jpg,Leche
Galletitas x3,,4014.00,0.00,U,92.000,0.000,7790040143005,https://images.openfoodfacts.org/images/products/779/004/014/3005/front_es.3.400.jpg,biscuits
Casanmcrem Balance,"Leche entera pasteurizada, crema, proteínas lácteas, leche en polvo descremada, almidón modificado de maiz, gelatina, sal, cultivos lácticos, estabilizante (INS 410), aroma, conservante (INS 202). CONTIENE LECHE.",8671.00,0.00,U,64.000,0.000,7791337061507,https://images.openfoodfacts.org/images/products/779/133/706/1507/front_es.8.400.jpg,Quesos cremosos
Pan BIMBO Artesano BLANCO,"Harina de trigo 000&quot;, agua, levadura, azúcar, masa madre, gluten de trigo, aceite vegetal, sal, cloruro de potasio, suero de leche en polvo, conservadores: INS 282, INS 200, regulador de acidez: INS 330, mejorador de harina: INS 300, aromatizante natural. CONTIENE DERIVADOS DE TRIGO Y DE LECHE. PUEDE CONTENER SOJA, AVENA Y DERIVADOS DE CEBADA Y DE CENTENO",3747.00,0.00,U,69.000,0.000,7793890260885,https://images.openfoodfacts.org/images/products/779/389/026/0885/front_es.22.400.jpg,Plant-based foods and beverages
Galletas de Cereal,,5989.00,0.00,U,32.000,0.000,7790045827535,https://images.openfoodfacts.org/images/products/779/004/582/7535/front_es.3.400.jpg,Galletas
Café Instantáneo Selección granulada,Café tostado instantáneo granulado,5969.00,0.00,U,96.000,0.000,7790150150573,https://images.openfoodfacts.org/images/products/779/015/015/0573/front_es.9.400.jpg,Plant-based foods and beverages
Bizcocho Dulce,"Harina de Trigo enriquecida (hierro 0.0030%, ácido fólico 0.00022%, tiamina 0.00063% (vitamina B1), riboflavina 0.00013% (vitamina B2), niacina 0.0013%), grasa bovina refinada 24.8%, agua, azúcar, sal.",7663.00,0.00,U,17.000,0.000,7795735000335,https://images.openfoodfacts.org/images/products/779/573/500/0335/front_es.45.400.jpg,Botanas
Coca-Cola sabor original 500,"Agua carbonatada, JMAF, colorante (INS 150d), aromatizante, acidulante (INS 338)",3884.00,0.00,U,59.000,0.000,7790895000782,https://images.openfoodfacts.org/images/products/779/089/500/0782/front_es.40.400.jpg,Bebidas y preparaciones de bebidas
Villavicencio Aventura,,14575.00,0.00,U,40.000,0.000,7790315058201,https://images.openfoodfacts.org/images/products/779/031/505/8201/front_es.13.400.jpg,Beverages
Ketchup Natura,"Agua, concentrado doble de tomate, azucar, maltodextrina, vinagre de alcohol, almidon modificado, sal,cebolla en polvo, acidulante: acido citrico, conservador: sorbato de potasio, aromatizante identico al natural.",13493.00,0.00,U,72.000,0.000,7791866000381,https://images.openfoodfacts.org/images/products/779/186/600/0381/front_es.18.400.jpg,Condimentos
Glaciar Agua,,11227.00,0.00,U,99.000,0.000,7792931000039,https://images.openfoodfacts.org/images/products/779/293/100/0039/front_es.3.400.jpg,Bebidas
Baggio multifruta,"agua, puré de banana, jarabe de maíz de alta fructosa, pulpa concentrada de pera, jugo concentrado de naranja, azúcar, pulpa concentrada de durazno, jugo concentrado de ananá, vitamina C, antioxidantes (eritorbato de sodio, ácido ascórbico)",1960.00,0.00,U,40.000,0.000,7790036000466,https://images.openfoodfacts.org/images/products/779/003/600/0466/front_en.4.400.jpg,Alimentos y bebidas de origen vegetal
Cremón light x 280,"queso amargo(leche,proteínas lácteas,cloruro de calcio,sal,regulador de acidez(ácido cítrico), sólidos lácteos, almidón, gelatina,emulsionante(contrato de sodio), conservador(sorbato de potasio, nisina), aromatizante,colorante(ins 171)",4413.00,0.00,U,95.000,0.000,7790742373809,https://images.openfoodfacts.org/images/products/779/074/237/3809/front_es.29.400.jpg,Lácteos
Leche Descremada,BCG - Hepatitis B - Neumococo Conj. 13 - Valente Quint - Pentavalente (DTP-HB-Hib) - Rotavirus - Meningococo ACYW - IPV (Polio) - Triple Viral (SRP) - Antigripal - Hepatitis A (HA) - Varicela - Triple Bact. Celular (DTP) - Triple Bact. Acelular (dTpa) - Doble Bacteriana (dT) - Virus Papiloma Humano (VPH) - Fiebre Amarilla (FA) - Fiebre Hemorrágica Arg,7119.00,0.00,U,17.000,0.000,7793913012996,https://images.openfoodfacts.org/images/products/779/391/301/2996/front_es.36.400.jpg,beverages-and-beverages-preparations
Tostadas de Arroz Clásicas,"Harina de arroz, leche en polvo descremada, azúcar, sal fina, EMULSIONANTES (INS 322, INS 471).",4362.00,0.00,U,71.000,0.000,7790412000271,https://images.openfoodfacts.org/images/products/779/041/200/0271/front_es.22.400.jpg,Productos sin gluten
Ls. de leche repostero,"Leche, azúcar, sólidos lácteos, almidón, estabilizante (agar), aroma vainilla, conservante (Sorbato de potasio), texturizante (lactato de calcio)",9979.00,0.00,U,93.000,0.000,7790742067005,https://images.openfoodfacts.org/images/products/779/074/206/7005/front_es.27.400.jpg,Desayunos
Mayonesa con aceite de oliva,"Aceite vegetal, agua, aceite de oliva virgen extra, huevo pasteurizado, vinagre de alcohol, almidón modificado, azúcar, sal, jugo concentrado de limón, conservador: sorbato de potasio, estabilizantes: goma guar, goma xántica, acidulantes: ácido fosfórico, ácido láctico, aromatizante idéntico al natural, secuestrante: EDTA calcio disódico, antioxidantes: BHA, propil galato, ácido cítrico, colorantes: clorofilina cúprica sódica, betacaroteno, curcumina. CONTIENE HUEVO.",12315.00,0.00,U,61.000,0.000,7791866001579,https://images.openfoodfacts.org/images/products/779/186/600/1579/front_es.3.400.jpg,Condimentos
Aceite de girasol,Aceite de Girasol,8440.00,0.00,U,100.000,0.000,7792180001641,https://images.openfoodfacts.org/images/products/779/218/000/1641/front_es.3.400.jpg,Alimentos y bebidas de origen vegetal
Rocklets,"CHOCOLATE CON LECHE 68% (AZÚCAR; MASA DE CACAO; LECHE ENTERA EN POLVO; MANTECA DE CACAO; GRASA VEGETAL EQUIVALENTE A LA MANTECA DE CACAO; LECHE DESCREMADA EN POLVO; EMULSIONANTES: LECITINA DE SOJA, POLIGLICEROL POLIRRICINOLEATO; AROMATIZANTE: VAINILLINA); AZÚCAR; ESTABILIZANTE: GOMA ARÁBIGA; GLASEANTE: CERA CARNAUBA; COLORANTES: DIÓXIDO DE TITANIO (E171), TARTRAZINA (E102), ROJO ALLURA (E129), AMARILLO OCASO (E110), AZUL BRILLANTE (E133), INDIGOTINA (E132). CONTIENE TARTRAZINA, LECHE Y DERIVADOS DE SOJA.",12090.00,0.00,U,43.000,0.000,7790580327415,https://images.openfoodfacts.org/images/products/779/058/032/7415/front_es.27.400.jpg,Botanas
Hellmans liviana,,9915.00,0.00,U,35.000,0.000,7794000007109,https://images.openfoodfacts.org/images/products/779/400/000/7109/front_es.3.400.jpg,
Queso rallado 70g,"Queso Reggianito (leche pasteurizada, fermento láctico, sal, cuajo, cloruro de calcio), antiaglutinante (celulosa microcristalina), conservador (acido sórbico, natamicina).",6722.00,0.00,U,56.000,0.000,7790742223005,https://images.openfoodfacts.org/images/products/779/074/222/3005/front_es.5.400.jpg,Lácteos
Pepas trio,"Harina 000 eriquecida según Ley 25630*, mermelada de membrillo (ACI (INS 330), ARO (a membrillo), COL (INS 129)), azúcar, oleomargarina bovina, almidón de maíz, leche entera en polvo, ARO (a vainilla), RAI (INS 503ii), EMU (INS 322), COL (INS 100i e INS 160b)",14960.00,0.00,U,59.000,0.000,7791787000040,https://images.openfoodfacts.org/images/products/779/178/700/0040/front_es.6.400.jpg,Botanas
Oreo,"Azúcar, harina de trigo enriquecida, aceite vegetal, cacao en polvo, jarabe de maíz de alta fructosa, almidón, sal, lecitina de soja, bicarbonato de sodio, bicarbonato de amonio, vainillina.",9468.00,0.00,U,80.000,0.000,7622201735296,https://images.openfoodfacts.org/images/products/762/220/173/5296/front_es.23.400.jpg,breakfasts
Queso clásico,"Leche entera pasteurizada, crema, sólidos lácteos, almidón modificado de maíz, proteínas lácteas, gelatina, sal, cultivos lácticos, aroma, estabilizantes (INS 410, INS 412, INS 417), conservante (INS 202). CONTIENE LECHE. SIC: 0800-888-2254. 250g SIN GLUTEN 06-PS [ 7 791337 061422 SEPARA LAVA O RECICLA VIO Y LOTE: VER ENVASE N MANTENER EN FRÍO (4-10) NO CONGELAR 2364",7984.00,0.00,U,67.000,0.000,7791337061422,https://images.openfoodfacts.org/images/products/779/133/706/1422/front_es.36.400.jpg,es:Queso Blanco
Villavicencio Sin Gas,,9052.00,0.00,U,9.000,0.000,7799155000197,https://images.openfoodfacts.org/images/products/779/915/500/0197/front_es.3.400.jpg,
Cafe - Arlistán,"Café, jarabe de glucosa, colorante caramelo. CONTIENE SULFITOS.",5334.00,0.00,U,32.000,0.000,7790070933638,https://images.openfoodfacts.org/images/products/779/007/093/3638/front_es.4.400.jpg,Beverages and beverages preparations
Manteca Tonadita x 200,"Crema de leche pasteurizada, sal CONTIENE DERIVADOS DE LECHE.",8143.00,0.00,U,18.000,0.000,7798060850026,https://images.openfoodfacts.org/images/products/779/806/085/0026/front_es.13.400.jpg,es:Manteca
café suave,"Café tostado soluble y azúcar. PUEDE CONTENER LECHE Conserva cerrado en lugar fresco y seco. Consumir preferentemente antes de: (fecha indicad envase). Por cualquier duda sobre este producto, por favor escribanos a info@lavirginia.com.ar o consulte en nuestro sitio web: www.lavirginia.com.a Elaborado por: Cafés La Virginia S.A. Juan Pablo II (Colectora Av. Circunvalación) 1340k $20066ZA Rosario, Provincia de Santa Fe, República Argentina. R.N.E. N° 21-03 R.N.PA. N°21-123739/C.G. N°21-012-22. JASSAL En Uruguay importa y distribuye: Instituto Botánico LA SELVA SA-Rafael Egen 34 Montevideo-Tel: 22150406-L.M. Reg. S.R.A. N° 1892/822. En Paraguay importa distribuye: A.J. S.A. &quot;Calidad ante todo&quot;-RUC: 80009641-0 - Via Férrea nº 2440 cas Brasilia, Asunción-Tel.: 4141120-RE. N° 00174-XI-RS.PA. N° N° de lote verled LaVirginia SABORES QUE RECONFOR 7 790150 101773",11637.00,0.00,U,39.000,0.000,7790150101773,https://images.openfoodfacts.org/images/products/779/015/010/1773/front_es.3.400.jpg,es:Cafe-instantaneo
Leche Larga Vida descremada,,9323.00,0.00,U,25.000,0.000,7790742363107,https://images.openfoodfacts.org/images/products/779/074/236/3107/front_en.3.400.jpg,Dairies
Dahi yogur firme natural,"LECHE FLUIDA ENTERA, LECHE EN POLVO DESCREMADA, CULTIVOS LACTICOS ESPECIFICOS, VITAMINA A Y D, ESTABILIZANTES: GELATINA Y PECTINA.CONTIENE LECHE",13180.00,0.00,U,23.000,0.000,7798136870545,https://images.openfoodfacts.org/images/products/779/813/687/0545/front_es.10.400.jpg,Dairies
Yogur cremoso,"Leche entera, leche en polvo descremada, almidón, proteinas lácteas, lactasa preparado de zinc y vitamina D, fermentos lácticos especificos, Estabilizante: gelatina CONTIENE LECHE.",5818.00,0.00,U,29.000,0.000,7794820902721,https://images.openfoodfacts.org/images/products/779/482/090/2721/front_en.39.400.jpg,Dairies
Casamcrem,"Leche entera pasteurizada crema, proteínas lácteas, almidón modificado de maíz, gelatina, sal, cultivos lácticos, conservante (INS 202). CONTIENE LECHE",5206.00,0.00,U,71.000,0.000,7791337061491,https://images.openfoodfacts.org/images/products/779/133/706/1491/front_es.31.400.jpg,es:Queso-crema
